time,cmd_vx,px,vx,cmd_vy,py,vy,cmd_vt,pt,vt
1492448004.6450946,0.0,-0.4844807230644503,-0.11022971978054151,1.0,0.6758914665513578,0.6754506569244518,0.0,-2.5481749592704603,0.00011169797636911163
1492448004.708005,0.031411,-0.4844793948815183,-0.09393049227777234,0.99951,0.675883327892966,0.5755744715725198,0.005,-2.5481758512195967,9.535922276571807e-05
1492448004.773807,0.062791,-0.48428276322879527,0.38584328084404523,0.99803,0.6762264938105784,1.324772782002566,0.01,-2.542785070757607,0.013682328033765723
1492448004.8417268,0.094108,-0.4839260441694024,1.18994619816325,0.99556,0.6772671469611262,3.646844798576282,0.015,-2.53507002066268,0.031418840302748274
1492448004.9048872,0.12533,-0.48251699558925226,4.405985371168743,0.99211,0.6870902636230951,26.621228123658543,0.02,-2.4833536036668358,0.15791780488331375
1492448004.9681106,0.15643,-0.48106044582769036,7.3520238810162315,0.98769,0.6987043492248879,51.12612049734045,0.025,-2.4495869342021863,0.2231804589022992
1492448005.0358045,0.18738,-0.4784513075540926,12.693703900534928,0.98229,0.713019598677262,79.14819237404501,0.03,-2.421007513458322,0.26712584549941937
1492448005.1008003,0.21814,-0.4741399922644616,21.45527277874318,0.97592,0.7303628300086014,111.04718572091562,0.035,-2.398051415459981,0.291342696265079
1492448005.168098,0.24869,-0.46829215048101563,32.834490971875894,0.96858,0.7508634064009891,146.66943501268779,0.04,-2.380579674397794,0.29866997122150574
1492448005.2319546,0.27899,-0.46115012020359897,45.9419579332678,0.96029,0.774595068750396,185.74703398572095,0.045,-2.3686210583366454,0.291165414606291
1492448005.297264,0.30902,-0.45347299670408203,58.76279214095774,0.95106,0.801564800642295,227.8849124238068,0.05,-2.3620594953971423,0.2709926022841388
1492448005.3598695,0.33874,-0.44171765396234924,79.77456939074669,0.94088,0.8425783702841442,298.46904540847197,0.055,-2.360124196338283,0.24169382999486222
1492448005.4256706,0.36812,-0.4306668540610591,96.60379171663007,0.92978,0.8775634585109542,346.2767934599759,0.06,-2.3602371132576008,0.21092365908783559
1492448005.4982722,0.39715,-0.4192820982126563,112.223607226648,0.91775,0.9097173154283973,381.64119779094545,0.065,-2.3600835224304566,0.18470689388796946
1492448005.5703905,0.42578,-0.4072384821782071,127.55238024827074,0.90483,0.9403263383581916,409.1104503496679,0.07,-2.359529659723048,0.16280664301186168
1492448005.6403692,0.45399,-0.3944279443832319,142.88230454064066,0.89101,0.9699082988448054,430.8591476136602,0.075,-2.358602017940852,0.14461162414339138
