time,cmd_vx,px,vx,cmd_vy,py,vy,cmd_vt,pt,vt
1492193710.2618306,0.0,-0.9994244384765625,-5.898214267025745e-13,0.0,0.75,-6.164218846941669e-13,0.1,0.0,0.0
1492193710.3215752,0.0,-0.9994244384765625,-5.898214267025745e-13,0.0,0.75,-6.164218846941669e-13,0.2,0.0,0.0
1492193710.382456,0.0,-0.9994244384765625,-5.898214267025745e-13,0.0,0.7500000464756597,0.00011075351112900056,0.3,0.00450019259005785,0.02250096295028925
1492193710.4424133,0.0,-0.9994244384765625,-5.898214267025745e-13,0.0,0.7500001560510884,0.00035867998647515166,0.4,0.01312554837204516,0.060002501122653484
1492193710.5038085,0.0,-0.9994244849522224,-0.00011075351233524388,0.0,0.7500004269641396,0.0009615400324379154,0.5,0.034501410787925124,0.15188118792138994
1492193710.5626128,0.0,-0.9994245015763316,-0.00013717296398425559,0.0,0.7500007076341363,0.0015158192211017084,0.6,0.057096018630545586,0.22688393015414476
1492193710.6222355,0.0,-0.9994245533385252,-0.0002441800592547172,0.0,0.7500013135321573,0.002779087322547958,0.7,0.09834746480919421,0.3764201785088517
1492193710.6814494,0.0,-0.999424571036378,-0.0002572602264655173,0.0,0.7500018465577853,0.003718176220685344,0.8,0.1328252185630845,0.4547039026510902
1492193710.7405775,0.0,-0.9994246223877414,-0.0003489796376062897,0.0,0.750002392466929,0.004576072617483218,0.9,0.16824041483050678,0.5181039083254291
1492193710.8022335,0.0,-0.999424732174529,-0.0005690246309944532,0.0,0.750003030341037,0.005550905295504559,1.0,0.20591149085885263,0.5769333113858011
1492193710.8597658,0.0,-0.9994249552682645,-0.0010328661545633976,0.0,0.7500040678048164,0.007361824054586923,1.1,0.27485489780519856,0.7774170182710805
1492193710.9214134,0.0,-0.9994251246290623,-0.0013133920359419756,0.0,0.7500046382085579,0.007843943603466949,1.2,0.2998794711757,0.7081856305558176
1492193710.9818888,0.0,-0.9994254114334526,-0.0018403658218717018,0.0,0.7500056349421115,0.009284579984601856,1.3,0.35941962388733373,0.8288399864750318
1492193711.042403,0.0,-0.9994259709538593,-0.0029544436268835444,0.0,0.7500070601533682,0.011574642357752365,1.4,0.45245455945291724,1.0868046676841914
1492193711.1003463,0.0,-0.9994266248839062,-0.0041607589120428,0.0,0.7500085370948717,0.013715114256574835,1.5,0.5433546503172693,1.2696039550849036
1492193711.1599288,0.0,-0.9994275383248652,-0.005841764868344094,0.0,0.7500100653723887,0.015722880234951175,1.6,0.6379965537456087,1.425412483455375
1492193711.2190251,0.0,-0.9994281655995364,-0.006640528654408725,0.0,0.7500110880281879,0.016286498076320512,1.7,0.690788010132394,1.3330166445254577
1492193711.2782593,0.0,-0.9994295170610706,-0.009069886688242058,0.0,0.7500127544260413,0.018317024847960137,1.8,0.806170785953995,1.5766763625020985
1492193711.3385472,0.0,-0.999430472142635,-0.010265190798215069,0.0,0.7500138111674907,0.018652772317921586,1.9,0.8693548437827587,1.4984275610203923
1492193711.3976116,0.0,-0.999431968102816,-0.012607009020744495,0.0,0.7500151489730928,0.019618302808264276,2.0,0.9719445790397891,1.6367693470504463
1492193711.459187,0.0,-0.999433185654799,-0.01400633572379517,0.0,0.7500160740814158,0.019485312743149328,2.1,1.034362771742476,1.5396679738012686
1492193711.5206783,0.0,-0.9994350797561542,-0.01685117609620016,0.0,0.7500172176230288,0.019888704730539483,2.2,1.1465100710533447,1.7154874769052952
1492193711.578432,0.0,-0.9994384158863222,-0.02279346473785825,0.0,0.7500187189433895,0.021096633952194233,2.3,1.3428048609058116,2.268089556941306
1492193711.638482,0.0,-0.9994404847994081,-0.025007883575630257,0.0,0.750019369847297,0.020134056520460977,2.4,1.436436260951008,2.1692241679319624
1492193711.6980104,0.0,-0.999443226925,-0.028562744191963044,0.0,0.7500198487921379,0.018876386366508305,2.5,1.5679958534771643,2.2847160885797546
1492193711.758504,0.0,-0.9994457783817323,-0.03123966330470644,0.0,0.7500199931087884,0.016971136855011216,2.6,1.6817727545403773,2.282421571750879
1492193711.817545,0.0,-0.999450099485099,-0.03781476633845744,0.0,0.7500194675154115,0.013696477319282412,2.7,1.906662940121663,2.8362671067195855
1492193711.8754034,0.0,-0.9994538757426129,-0.04230804031232167,0.0,0.7500184812710273,0.009714249247127894,2.8,2.091858821759014,3.0531797382264436
1492193711.9340477,0.0,-0.9994567672803869,-0.044157605465943196,0.0,0.7500172103362606,0.005528082758506284,2.9,2.2257075785250917,2.9591285875002216
1492193711.991915,0.0,-0.9994598268214623,-0.04618715007239733,0.0,0.7500152106344977,0.00010402373963559666,3.0,2.3905091866381944,3.043354481190681
1492193712.04865,0.0,-0.9994621918269301,-0.04631976158299464,0.0,0.7500130681473154,-0.005014010735687382,3.1,2.5267242655024056,2.963591255214064
1492193712.1063292,0.0,-0.9994636921257041,-0.04437593861299471,0.0,0.7500112322305464,-0.008791649728027871,3.2,2.6127386409772555,2.6527653187848
1492193712.1654322,0.0,-0.9994647893818872,-0.041703258398820844,0.0,0.7500093970367339,-0.012117452010651883,3.3,2.690200378747468,2.37688267793966
1492193712.226752,0.0,-0.9994662188089017,-0.04014061131384595,0.0,0.7500061438617596,-0.018426088313946952,3.4,2.8669124665691026,2.666222447562916
1492193712.2866416,0.0,-0.9994674576449113,-0.03830997038941441,0.0,0.7500014737827061,-0.027359580765871246,3.5,3.1288879808986536,3.309544407319942
1492193712.3479257,0.0,-0.9994678475309026,-0.03467436960707201,0.0,0.7499983793976231,-0.031473681200824,3.6,-3.0201271770845857,3.1530090514716935
1492193712.4040933,0.0,-0.9994672939987577,-0.029223752226712453,0.0,0.7499927879833717,-0.04104810639466474,3.7,-2.7129411878988274,3.9006867345325613
1492193712.4625096,0.0,-0.9994660528649102,-0.02278400305895721,0.0,0.7499887446388861,-0.04579260072326417,3.8,-2.5120498421979325,3.9299717794038957
1492193712.5216696,0.0,-0.9994646447277047,-0.016713587719857603,0.0,0.7499861951093612,-0.046411952470320005,3.9,-2.399580283710469,3.509826626990238
1492193712.5813527,0.0,-0.999461402669012,-0.0069961611295139055,0.0,0.7499825815276614,-0.04949318956825047,4.0,-2.1340727822674315,3.959907477457867
1492193712.6401303,0.0,-0.9994589815364617,-0.0003928895577019467,0.0,0.7499806359587499,-0.04823234381406169,4.1,-1.994562437864167,3.6674823301097215
1492193712.7002997,0.0,-0.9994545881546855,0.010123543287555749,0.0,0.7499783293975499,-0.047981990834417766,4.2,-1.709166219149726,4.177592841154496
1492193712.75756,0.0,-0.9994508764431462,0.017762470645867206,0.0,0.7499772339937373,-0.044875227403419156,4.3,-1.499148912858657,4.183281162321217
1492193712.818596,0.0,-0.9994472853117626,0.02420385551707491,0.0,0.7499770815555673,-0.039891513569163164,4.4,-1.3098517309159217,4.08394678145459
1492193712.8784409,0.0,-0.9994439222480094,0.029334240372009573,0.0,0.7499777591348307,-0.03352365251906392,4.5,-1.1213043413014159,4.005697034163471
1492193712.936948,0.0,-0.9994395637223108,0.03622555771614812,0.0,0.7499797728563039,-0.02473045111235895,4.6,-0.7951916921951772,4.634836021153796
1492193712.9958575,0.0,-0.999437064045728,0.03786604164942579,0.0,0.7499814364856695,-0.017819263377597327,4.7,-0.6287238447324102,4.308466253179182
1492193713.0554328,0.0,-0.9994337366290973,0.04128359877922054,0.0,0.7499851998097329,-0.006727895164132119,4.8,-0.3000163765004342,4.874887031044266
1492193713.1169806,0.0,-0.9994320748850972,0.04032457649348605,0.0,0.7499881857887385,0.0011894655226394983,4.9,-0.13068511278799644,4.502821591845388
1492193713.1749425,0.0,-0.9994311222555841,0.0377899732325946,0.0,0.7499937556038753,0.014320849021226512,5.0,0.20923488722996098,5.0767161939738275
1492193713.236314,0.0,-0.9994311146941647,0.03330523521214323,0.0,0.7499976927900042,0.02199697402542011,5.1,0.3849391614109181,4.686058516385157
