time,cmd_vx,px,vx,cmd_vy,py,vy,cmd_vt,pt,vt
1492195934.7063699,0.0,0.1029213294169387,-4.7811635647993666e-05,0.0,-0.05272925200420363,-4.8563641456457737e-05,0.1,2.643613576889038,1.3173287756955904e-14
1492195934.7649276,0.0,0.10292132999303195,-4.0741920435986755e-05,0.0,-0.052729251419049286,-4.1382730161293526e-05,0.2,2.643613576889038,1.3173287756955904e-14
1492195934.8209248,0.0,0.10292127238936588,-0.00017315946539716345,0.0,-0.052729370014297575,-0.00031906950532766156,0.3,2.6534272668020895,0.05406488463174881
1492195934.8815532,0.0,0.10292124621809194,-0.00021489442001386964,0.0,-0.05272940928394901,-0.0003746329637750706,0.4,2.657029085756861,0.05901524878349279
1492195934.9406416,0.0,0.10292113331814098,-0.0004583347608882279,0.0,-0.05272962766535444,-0.0008504069890724878,0.5,2.683644410436833,0.18938637715058704
1492195935.0038579,0.0,0.10292099545387759,-0.0007322596961650922,0.0,-0.05272989816419081,-0.0013936896050801774,0.6,2.7055062548674655,0.25765840034897863
1492195935.0611365,0.0,0.10292069906443344,-0.001351318258727796,0.0,-0.05273053884759997,-0.002754404802477728,0.7,2.764984795830415,0.5143596914109998
1492195935.1213634,0.0,0.10292059740994036,-0.0014325528227663172,0.0,-0.05273075971376782,-0.002952545152192097,0.8,2.759472988296661,0.34231073509062215
1492195935.1796052,0.0,0.10292027281693462,-0.002035380251326686,0.0,-0.05273158915520367,-0.004577337892035787,0.9,2.8330437298720774,0.6533297465475694
1492195935.2369776,0.0,0.10292003743817756,-0.0023537780637624957,0.0,-0.052732269104680624,-0.005652287237860412,1.0,2.87300679816747,0.6935275530542889
1492195935.2967093,0.0,0.10291981432448719,-0.002605009901210138,0.0,-0.05273301080509458,-0.006746309198916766,1.1,2.915684085979721,0.7376056000026581
1492195935.3545132,0.0,0.10291950454351924,-0.0030328387997994393,0.0,-0.05273430265946763,-0.009021016803135287,1.2,3.004823738922621,1.0255092319810908
1492195935.413246,0.0,0.10291935116148318,-0.0030369855241593503,0.0,-0.052735139933603695,-0.00994140365805771,1.3,3.0349028945471836,0.9087360460252304
1492195935.4705503,0.0,0.10291900646472206,-0.0034965494396478223,0.0,-0.052736509808675974,-0.012021335540981929,1.4,3.141484384997325,1.2455900265261097
1492195935.529976,0.0,0.10291958677758099,-0.0016970172997093557,0.0,-0.05273779456934048,-0.013650607709346719,1.5,-3.106703254804496,1.095290881348471
1492195935.5881827,0.0,0.10291983842146636,-0.0008951357243196136,0.0,-0.05273910911180935,-0.015156719898543896,1.6,-3.042578647880845,1.1468566759630676
1492195935.646197,0.0,0.10292007216090154,-0.00023146715740054297,0.0,-0.0527404972187324,-0.01665868283921333,1.7,-2.9734200187714026,1.21195141769599
1492195935.7076323,0.0,0.10292049804972035,0.0008110241713109126,0.0,-0.05274224251972535,-0.018832892591462168,1.8,-2.867843978404426,1.4597436125799939
1492195935.767927,0.0,0.10292104681010206,0.002022108659114777,0.0,-0.05274432449378415,-0.02155034704865732,1.9,-2.7545549481696683,1.6817717048354002
1492195935.8263628,0.0,0.10292166235755452,0.0032480462899850153,0.0,-0.05274615665937607,-0.02334870651343869,2.0,-2.6724111826663486,1.6710574418292898
1492195935.8873143,0.0,0.10292259086156946,0.005073699848668511,0.0,-0.0527482725138604,-0.02560883047755949,2.1,-2.551080092570164,1.8791825218057294
1492195935.946678,0.0,0.1029239028588711,0.007595703953851144,0.0,-0.052750113132688806,-0.026943757275010635,2.2,-2.460335907153488,1.8614709986012437
1492195936.0063217,0.0,0.10292491706286312,0.009107551439480235,0.0,-0.05275181278889021,-0.027783704601308155,2.3,-2.36752323930557,1.8600337655320742
1492195936.0660605,0.0,0.10292642552506936,0.011617097768680473,0.0,-0.05275374454337337,-0.029076670648981076,2.4,-2.2274293184635305,2.1194709541185195
1492195936.1225607,0.0,0.10292971680312873,0.01807615366779474,0.0,-0.052756251022778256,-0.03158517138971423,2.5,-1.9868138355917666,2.8612307565811856
1492195936.1814396,0.0,0.10293182990271778,0.020957948695462168,0.0,-0.052757476868477246,-0.03074297320071157,2.6,-1.9297354145959145,2.3875386659352236
1492195936.2395399,0.0,0.10293416279980806,0.024020158572580334,0.0,-0.0527584068817454,-0.02929614324569539,2.7,-1.8238211966177946,2.3133708292722512
1492195936.2987576,0.0,0.10293669076627189,0.027182358278713136,0.0,-0.052759082144108765,-0.02741462376721415,2.8,-1.7071064791668078,2.319134347843045
1492195936.3552873,0.0,0.10294062967766852,0.033330117968574643,0.0,-0.05275967490300436,-0.025560682072488967,2.9,-1.4798134422254894,2.9325005052292283
1492195936.4139256,0.0,0.10294323026815869,0.035556082038388406,0.0,-0.05275978169885515,-0.02276957054890861,3.0,-1.4093428004370978,2.5129561755070355
1492195936.4722168,0.0,0.10294740692675512,0.04127265627668998,0.0,-0.05275932776539701,-0.01897478376449425,3.1,-1.16745912354957,3.15331457843528
1492195936.5319073,0.0,0.10294999038573585,0.04251142456413654,0.0,-0.05275866374768337,-0.015131514162729438,3.2,-1.0922880769789662,2.698840723691231
1492195936.590031,0.0,0.1029532305604092,0.045167572886150906,0.0,-0.05275705253529354,-0.009488972493977333,3.3,-0.8967806340543207,3.032503368128581
1492195936.6496277,0.0,0.10295590236320405,0.04615278055669866,0.0,-0.05275500631896135,-0.0034821186440009986,3.4,-0.7519792056536403,2.9949105035245003
1492195936.7062395,0.0,0.10295915674308394,0.04840890504343339,0.0,-0.0527513218515655,0.005713028845799756,3.5,-0.4746689262444481,3.6976812025975496
1492195936.7640152,0.0,0.10296133555772385,0.04783308882098146,0.0,-0.052748112545752096,0.012680223937370973,3.6,-0.3248680663257124,3.5044033235599232
1492195936.8209338,0.0,0.10296324401505945,0.04668160917459094,0.0,-0.05274416070925893,0.02058674542888622,3.7,-0.10398847243966625,3.7559470052187316
1492195936.880592,0.0,0.10296410644641256,0.043174605567589,0.0,-0.052741408098186615,0.02469338159129124,3.8,-0.018224027533080278,3.1938345576583522
1492195936.9383836,0.0,0.10296435177293993,0.03861488149288114,0.0,-0.05273748456676496,0.031101057100675573,3.9,0.21770773338288496,3.6138507418634136
1492195936.9961867,0.0,0.10296338060247925,0.031699493372281784,0.0,-0.052733079526906756,0.03789269966132016,4.0,0.4662401809673553,3.987589566570079
1492195937.0530858,0.0,0.10296179232176154,0.024137488242597295,0.0,-0.052729583225946515,0.04170953910880039,4.1,0.6379117920793247,3.8349433491201896
1492195937.1136708,0.0,0.10295984440980924,0.016619495592572742,0.0,-0.052726475676084,0.0441451831478836,4.2,0.8128621697105736,3.7424076655898295
1492195937.17002,0.0,0.10295660454388839,0.006918505753612556,0.0,-0.05272254521672172,0.04825164392789212,4.3,1.1586102063445685,4.6163078859960995
1492195937.23011,0.0,0.10295423123190535,0.0004384454727259738,0.0,-0.05272057736797895,0.04719182483103484,4.4,1.2605327374246453,3.9062204630624233
1492195937.2905266,0.0,0.10295126130665376,-0.006691256860899672,0.0,-0.052719423141705135,0.04431938786660531,4.5,1.4467951557910892,3.856370531160737
1492195937.3498387,0.0,0.102947221925055,-0.015520000540396085,0.0,-0.052719221717707945,0.03951863886755947,4.6,1.7303450143681687,4.356221152237486
1492195937.4116209,0.0,0.10294427741628386,-0.02068765087117689,0.0,-0.05271953570552255,0.034061660828189746,4.7,1.8425660920962796,3.774512321893152
1492195937.47213,0.0,0.10293955211398703,-0.02948327262532053,0.0,-0.0527203394963655,0.02808767170180891,4.8,2.2263935194200464,4.849353386671096
1492195937.5308938,0.0,0.10293449366216412,-0.038024786746238326,0.0,-0.052723040432900665,0.018304515910989534,4.9,2.623005424518931,5.698553880790706
1492195937.5890155,0.0,0.10293193041605103,-0.03960237758743302,0.0,-0.052725707576400056,0.009767574604112489,5.0,2.73155712593523,4.726875768126715
1492195937.6499982,0.0,0.10293006658221993,-0.03932526527706903,0.0,-0.05272957080981933,-0.000602505767836211,5.1,2.9360602418937294,4.551461393132069
1492195937.708222,0.0,0.10292768966545962,-0.04030387035879186,0.0,-0.05273728216965875,-0.018907220644425148,5.2,-2.8301364127994866,6.145889201117809
1492195937.7648275,0.0,0.10292703307264743,-0.0370662659887408,0.0,-0.05274223577434758,-0.02845903901461109,5.3,-2.7096815697043923,5.116565631174022
1492195937.8232763,0.0,0.10292829897965622,-0.029633028792263868,0.0,-0.052747293544571305,-0.037120968509605036,5.4,-2.492108133766074,4.905814748132534
1492195937.883296,0.0,0.10293149972850674,-0.018474665943247568,0.0,-0.05275205862378736,-0.04405331497487806,5.5,-2.257676746229621,4.84598918780728
1492195937.9427228,0.0,0.10293662635685522,-0.004056391889990754,0.0,-0.052757350015775424,-0.051413883483358534,5.6,-1.9109841190798724,5.42110462565565
1492195938.000447,0.0,0.10294430412531382,0.014723391023021684,0.0,-0.052762311991469926,-0.05711241099593757,5.7,-1.4474425116748109,6.481536920789822
1492195938.0597875,0.0,0.10294977017903674,0.025994910020169536,0.0,-0.052763768942457115,-0.05377932080317719,5.8,-1.3175747716995796,5.411613884009027
1492195938.1169498,0.0,0.10295847537413826,0.04364241740587796,0.0,-0.05276178581019223,-0.04264550803113006,5.9,-0.8537018106181673,6.476485935369445
1492195938.1732173,0.0,0.10296669187004846,0.058022594684694354,0.0,-0.05275845260776196,-0.02962103745789808,6.0,-0.48621616500642073,6.717021942619716
1492195938.2339492,0.0,0.10297140417488711,0.062338703463522195,0.0,-0.0527551414369768,-0.018200963145864658,6.1,-0.3559366008652436,5.5845018290707475
1492195938.2937407,0.0,0.10297430100127279,0.06181417468232865,0.0,-0.052749673290910175,-0.003001449848754157,6.2,-0.09944741287346215,5.45924680180283
1492195938.3542168,0.0,0.10297535502553284,0.056960667300979616,0.0,-0.05274299040973487,0.0132817749144334,6.3,0.17239898977432588,5.453098958370682
1492195938.413775,0.0,0.1029757936799046,0.05121901272592266,0.0,-0.05273453445014584,0.03185014087105241,6.4,0.5730447028397148,6.158216606564324
1492195938.4726307,0.0,0.10297422858413498,0.041386465297969285,0.0,-0.052727409019002906,0.045035338823328754,6.5,0.8537195833616087,6.008170243049589
1492195938.5323684,0.0,0.1029682280540457,0.022155654968839627,0.0,-0.05272133779555459,0.05413726923342962,6.6,1.2581856484335834,6.581436735418729
1492195938.5896728,0.0,0.10295888120974443,-0.00275817444423428,0.0,-0.052715533401760294,0.06151881827787007,6.7,1.7980267074350094,7.742591589991594
1492195938.6490908,0.0,0.10295083385292435,-0.021606732094864512,0.0,-0.05271340792273936,0.05925382638936577,6.8,2.078194893656769,7.153327466216449
1492195938.7101665,0.0,0.10294228432722698,-0.039406133453065394,0.0,-0.052716607304085,0.044569340134658866,6.9,2.4883350415876127,7.442412264713115
1492195938.7701902,0.0,0.10293521278626697,-0.05156259587172251,0.0,-0.05272095716136978,0.02889290821191796,7.0,2.7766837733542555,6.980902155148477
1492195938.828345,0.0,0.1029289560480386,-0.06032887922034196,0.0,-0.05272773407728366,0.009300571213834586,7.1,-3.076795574641041,7.42527319859173
1492195938.888051,0.0,0.1029275538947074,-0.05648195467837887,0.0,-0.05273555298083216,-0.010440398067660683,7.2,-2.7749418287423855,7.04288502170524
