time,motor1_cmd,motor2_cmd,motor3_cmd,motor4_cmd,motor1_speed,motor2_speed,motor3_speed,motor4_speed
0,0,0.14506,0,-0.13924,0,0,0,0
50,0,0.14506,0,-0.13924,-0.096,4.717,-0.278,-5.848
100,0,0.14506,0,-0.13924,0.163,7.21,-0.058,-7.047
150,0,0.14506,0,-0.13924,-0.01,11.304,-0.173,-11.668
200,0,0.14506,0,-0.13924,0.249,13.71,-0.134,-14.285
250,0,0.14506,0,-0.13924,-0.211,15.618,-0.566,-16.605
300,0,0.14506,0,-0.13924,-0.038,15.867,-0.738,-18.168
350,0,0.14506,0,-0.13924,-0.556,18.321,-1.208,-19.146
400,0,0.14506,0,-0.13924,0.594,18.331,-2.08,-19.702
450,0,0.14506,0,-0.13924,0.019,19.683,-0.94,-21.169
500,0,0.14506,0,-0.13924,-0.067,20.977,0.163,-21.696
550,0,0.14506,0,-0.13924,-0.029,21.725,-0.019,-22.597
600,0,0.14506,0,-0.13924,0.019,23.106,0.077,-23.767
650,0,0.14506,0,-0.13924,0.019,24.036,0.058,-23.662
700,0,0.14506,0,-0.13924,0.029,24.074,0.153,-24.448
750,0,0.14506,0,-0.13924,-0.019,25.013,-0.086,-25.292
800,0,0.14506,0,-0.13924,-0.01,25.608,-0.058,-25.665
850,0,0.14506,0,-0.13924,0.105,25.646,0.144,-26.452
900,0,0.14506,0,-0.13924,-0.019,26.576,0.115,-25.685
950,0,0.14506,0,-0.13924,0.058,25.982,-0.019,-25.79
1000,0,0.14506,0,-0.13924,0.019,25.915,-0.029,-26.346
1050,0,0.18141,0,-0.16722,-0.058,26.413,-0.268,-25.905
1100,0,0.18141,0,-0.16722,0.997,27.545,0.182,-29.999
1150,0,0.18141,0,-0.16722,-0.355,26.816,0.019,-26.452
1200,0,0.18141,0,-0.16722,-0.01,27.123,-0.134,-27.353
1250,0,0.18141,0,-0.16722,0.173,28.033,-0.115,-27.755
1300,0,0.18141,0,-0.16722,0,28.695,0.067,-28.599
1350,0,0.18141,0,-0.16722,-0.537,29.213,0.662,-29.961
1400,0,0.18141,0,-0.16722,0.144,30.143,-0.24,-28.695
1450,0,0.18141,0,-0.16722,0.336,30.028,-0.278,-29.347
