time,motor1_cmd,motor2_cmd,motor3_cmd,motor4_cmd,motor1_speed,motor2_speed,motor3_speed,motor4_speed
0,-0.05849,0,0,0,0,0,0,0
50,-0.05849,0,0,0,-2.224,-0.642,-0.153,-0.518
100,-0.05849,0,0,0,-2.732,-1.064,-0.058,-1.342
150,-0.05849,0,0,0,-4.113,-1.333,0.24,-1.438
200,-0.05849,0,0,0,-5.1,-1.802,0.153,-1.074
250,-0.05849,0,0,0,-3.787,-1.985,-0.336,-1.85
300,-0.05849,0,0,0,-4.008,-2.569,-0.767,-2.263
350,-0.05849,0,0,0,-5.35,-2.32,-0.479,-2.972
400,-0.05849,0,0,0,-5.302,-2.205,0.614,-1.841
450,-0.05849,0,0,0,-5.244,-2.167,0.029,-2.013
500,-0.05849,0,0,0,-4.516,-2.819,-0.959,-2.819
550,-0.05849,0,0,0,-5.551,-2.205,-0.345,-3.221
600,-0.05849,0,0,0,-5.11,-1.179,1.026,-1.534
650,-0.05849,0,0,0,-4.238,-1.802,0.297,-1.898
700,-0.05849,0,0,0,-3.998,-2.119,-0.623,-2.569
750,-0.05849,0,0,0,-5.695,-2.656,0.029,-2.972
800,-0.05849,0,0,0,-5.733,-1.639,0.681,-2.196
850,-0.05849,0,0,0,-4.381,-2.138,-0.221,-2.512
900,-0.05849,0,0,0,-5.302,-2.905,-0.671,-3.231
950,-0.05849,0,0,0,-5.57,-2.32,0.345,-1.965
1000,0,-0.19465,-0.05068,0.1723,-4.842,-1.16,0.546,-2.474
1050,0,-0.19465,-0.05068,0.1723,-0.431,-11.045,-1.227,2.8
1100,0,-0.19465,-0.05068,0.1723,-0.7,-8.782,-1.275,8.149
1150,0,-0.19465,-0.05068,0.1723,0.048,-15.1,-1.908,13.883
1200,0,-0.19465,-0.05068,0.1723,-0.24,-18.475,-3.528,15.119
1250,0,-0.19465,-0.05068,0.1723,-0.853,-22.271,-4.41,18.647
1300,0,-0.19465,-0.05068,0.1723,-0.46,-24.457,-5.331,21.236
1350,0,-0.19465,-0.05068,0.1723,-0.345,-25.972,-5.58,21.783
1400,0,-0.19465,-0.05068,0.1723,-0.115,-28.225,-6.261,24.237
1450,0,-0.19465,-0.05068,0.1723,-0.585,-29.615,-6.539,25.176
1500,0,-0.19465,-0.05068,0.1723,-0.029,-30.028,-6.654,25.138
1550,0,-0.19465,-0.05068,0.1723,0.038,-30.507,-8.216,25.023
