time,motor1_cmd,motor2_cmd,motor3_cmd,motor4_cmd,motor1_speed,motor2_speed,motor3_speed,motor4_speed
0,0.06545,0.45976,0.13282,-0.38447,0,0,0,0
10,0.06545,0.45976,0.13282,-0.38447,1.963,0.43,1.779,-2.24
20,0.06545,0.45976,0.13282,-0.38447,2.853,0.215,3.037,-4.264
30,0.06545,0.45976,0.13282,-0.38447,3.068,0.307,4.019,-4.694
40,0.06545,0.45976,0.13282,-0.38447,3.467,0.184,3.651,-5.369
50,0.06545,0.45976,0.13282,-0.38447,4.418,0.92,2.73,-9.511
60,0.06545,0.45976,0.13282,-0.38447,5.277,6.167,3.712,-11.812
70,0.06545,0.45976,0.13282,-0.38447,5.461,9.879,5.369,-12.149
80,0.06545,0.45976,0.13282,-0.38447,7.547,8.191,6.044,-16.874
90,0.06545,0.45976,0.13282,-0.38447,9.419,5.737,6.872,-21.384
100,0.06545,0.45976,0.13282,-0.38447,10.615,7.547,8.774,-25.035
110,0.06545,0.45976,0.13282,-0.38447,10.769,10.677,10.186,-27.704
120,0.06545,0.45976,0.13282,-0.38447,11.842,11.658,10.953,-31.078
130,0.06545,0.45976,0.13282,-0.38447,12.763,11.443,11.781,-34.607
140,0.06545,0.45976,0.13282,-0.38447,13.438,10.247,12.026,-38.073
150,0.06545,0.45976,0.13282,-0.38447,14.021,14.051,13.346,-41.233
160,0.06545,0.45976,0.13282,-0.38447,14.542,17.242,13.99,-43.504
170,0.06545,0.45976,0.13282,-0.38447,15.585,16.137,15.37,-45.099
180,0.06545,0.45976,0.13282,-0.38447,16.506,16.199,17.579,-41.602
190,0.06545,0.45976,0.13282,-0.38447,15.463,15.37,19.85,-39.147
200,0.06545,0.45976,0.13282,-0.38447,15.432,14.696,18.653,-39.884
210,0.06545,0.45976,0.13282,-0.38447,15.37,13.53,15.125,-40.037
220,0.06545,0.45976,0.13282,-0.38447,15.708,17.089,13.929,-42.338
230,0.06545,0.45976,0.13282,-0.38447,16.414,22.795,14.573,-45.099
240,0.06545,0.45976,0.13282,-0.38447,17.15,25.495,14.972,-45.989
250,0.06545,0.45976,0.13282,-0.38447,17.61,27.305,16.475,-44.271
260,0.06545,0.45976,0.13282,-0.38447,17.058,23.501,17.211,-39.791
270,0.06545,0.45976,0.13282,-0.38447,17.395,18.5,17.027,-37.245
280,0.06545,0.45976,0.13282,-0.38447,17.794,16.598,15.831,-37.306
290,0.06545,0.45976,0.13282,-0.38447,17.794,18.346,16.751,-37.306
300,0.06545,0.45976,0.13282,-0.38447,17.457,20.31,16.598,-36.202
310,0.06545,0.45976,0.13282,-0.38447,16.659,21.23,16.782,-33.563
320,0.06545,0.45976,0.13282,-0.38447,16.506,19.758,18.837,-30.925
