g nrf.
ERROR|595002|R1|B14.0|Timeout on command
INFO|595274|R1|B14.0|Reseting nrf.
INFO|595775|R1|B14.0|Reseting nrf.
ERROR|596002|R1|B14.0|Timeout on command
INFO|596276|R1|B14.0|Reseting nrf.
INFO|596777|R1|B14.0|Reseting nrf.
ERROR|597002|R1|B14.0|Timeout on command
INFO|597278|R1|B14.0|Reseting nrf.
INFO|597779|R1|B14.0|Reseting nrf.
ERROR|598002|R1|B14.0|Timeout on command
INFO|598280|R1|B14.0|Reseting nrf.
INFO|598781|R1|B14.0|Reseting nrf.
ERROR|599002|R1|B14.0|Timeout on command
INFO|599282|R1|B14.0|Reseting nrf.
INFO|599783|R1|B14.0|Reseting nrf.
ERROR|600002|R1|B14.0|Timeout on command
INFO|600284|R1|B14.0|Reseting nrf.
INFO|600785|R1|B14.0|Reseting nrf.
ERROR|601002|R1|B14.0|Timeout on command
INFO|601286|R1|B14.0|Reseting nrf.
INFO|601787|R1|B14.0|Reseting nrf.
INFO|602361|R1|B14.0|Reseting nrf.
ERROR|602362|R1|B14.0|Timeout on command
ERROR|602862|R1|B14.0|Timeout on open loop command
DATA|602872|R1|B14.0|-0.47591|0.000|0.20846|0.000|0.55192|0.000|0.00000|0.000|
DATA|602882|R1|B14.0|-0.47591|-1.963|0.20846|2.730|0.55192|1.871|0.00000|0.000|
DATA|602892|R1|B13.2|-0.47591|-3.007|0.20846|6.903|0.55192|3.160|0.00000|0.153|
DATA|602902|R1|B13.2|-0.47591|-2.638|0.20846|5.185|0.55192|4.663|0.00000|0.184|
DATA|602912|R1|B13.2|-0.47591|-3.221|0.20846|4.633|0.55192|8.161|0.00000|0.123|
DATA|602922|R1|B13.2|-0.47591|-3.405|0.20846|6.627|0.55192|9.511|0.00000|0.184|
DATA|602932|R1|B13.1|-0.47591|-2.577|0.20846|7.793|0.55192|9.511|0.00000|0.031|
DATA|602942|R1|B13.1|-0.47591|-3.160|0.20846|8.866|0.55192|11.382|0.00000|-0.061|
DATA|602952|R1|B13.1|-0.47591|-4.970|0.20846|10.861|0.55192|14.419|0.00000|-0.092|
DATA|602962|R1|B13.0|-0.47591|-5.584|0.20846|12.671|0.55192|15.278|0.00000|0.123|
DATA|602972|R1|B13.0|-0.47591|-3.958|0.20846|12.763|0.55192|14.972|0.00000|0.767|
DATA|602982|R1|B13.0|-0.47591|-5.123|0.20846|13.284|0.55192|17.058|0.00000|1.074|
DATA|602992|R1|B13.0|-0.47591|-8.007|0.20846|15.401|0.55192|19.727|0.00000|4.510|
DATA|603002|R1|B12.9|-0.47591|-10.308|0.20846|14.113|0.55192|22.457|0.00000|5.185|
