time,motor1_cmd,motor2_cmd,motor3_cmd,motor4_cmd,motor1_speed,motor2_speed,motor3_speed,motor4_speed
0,0.1442,0.05873,-0.12885,-0.11394,0,0,0,0
10,0.1442,0.05873,-0.12885,-0.11394,2.178,1.227,-1.657,-2.178
20,0.1442,0.05873,-0.12885,-0.11394,2.577,3.59,-1.657,-3.682
30,0.1442,0.05873,-0.12885,-0.11394,2.301,4.939,-2.853,-3.344
40,0.1442,0.05873,-0.12885,-0.11394,3.099,4.326,-2.24,-4.449
50,0.1442,0.05873,-0.12885,-0.11394,4.326,3.774,-2.7,-5.614
60,0.1442,0.05873,-0.12885,-0.11394,5.89,5.522,-4.878,-6.136
70,0.1442,0.05873,-0.12885,-0.11394,6.78,7.731,-6.811,-6.473
80,0.1442,0.05873,-0.12885,-0.11394,7.578,9.081,-6.842,-7.762
90,0.1442,0.05873,-0.12885,-0.11394,8.59,8.345,-6.32,-9.633
100,0.1442,0.05873,-0.12885,-0.11394,10.002,8.774,-7.363,-10.83
110,0.1442,0.05873,-0.12885,-0.11394,10.861,9.756,-8.59,-10.922
120,0.1442,0.05873,-0.12885,-0.11394,11.597,9.756,-8.069,-10.861
130,0.1442,0.05873,-0.12885,-0.11394,12.579,8.958,-8.56,-12.088
140,0.1442,0.05873,-0.12885,-0.11394,13.008,8.682,-9.91,-12.456
150,0.1442,0.05873,-0.12885,-0.11394,14.573,10.339,-9.633,-12.241
160,0.1442,0.05873,-0.12885,-0.11394,14.419,9.971,-10.738,-13.652
170,0.1442,0.05873,-0.12885,-0.11394,15.125,10.799,-10.431,-13.468
180,0.1442,0.05873,-0.12885,-0.11394,16.199,11.628,-12.118,-14.788
190,0.1442,0.05873,-0.12885,-0.11394,16.904,12.303,-12.64,-15.278
200,0.1442,0.05873,-0.12885,-0.11394,16.536,11.628,-11.658,-14.634
210,0.1442,0.05873,-0.12885,-0.11394,17.303,11.351,-12.763,-16.076
220,0.1442,0.05873,-0.12885,-0.11394,18.408,12.701,-14.603,-17.426
230,0.1442,0.05873,-0.12885,-0.11394,18.623,13.284,-14.051,-16.782
240,0.1442,0.05873,-0.12885,-0.11394,18.837,12.64,-13.223,-15.156
250,0.1442,0.05873,-0.12885,-0.11394,19.482,11.167,-13.775,-16.506
260,0.1442,0.05873,-0.12885,-0.11394,20.402,11.505,-14.235,-17.487
270,0.1442,0.05873,-0.12885,-0.11394,21.169,13.284,-15.8,-17.856
280,0.1442,0.05873,-0.12885,-0.11394,21.016,14.45,-15.125,-17.211
290,0.1442,0.05873,-0.12885,-0.11394,20.218,12.947,-15.033,-17.426
300,0.1442,0.05873,-0.12885,-0.11394,21.322,12.487,-15.156,-18.623
310,0.1442,0.05873,-0.12885,-0.11394,22.304,13.683,-16.567,-18.561
320,0.1442,0.05873,-0.12885,-0.11394,22.243,13.744,-16.904,-18.408
330,0.1442,0.05873,-0.12885,-0.11394,22.457,12.916,-15.892,-18.162
340,0.1442,0.05873,-0.12885,-0.11394,22.519,11.781,-16.567,-18.623
350,0.1442,0.05873,-0.12885,-0.11394,22.795,12.241,-16.383,-18.438
360,0.1442,0.05873,-0.12885,-0.11394,22.826,12.088,-16.874,-18.715
370,0.1442,0.05873,-0.12885,-0.11394,23.04,12.272,-17.518,-19.083
380,0.1442,0.05873,-0.12885,-0.11394,23.623,12.333,-17.058,-18.991
390,0.1442,0.05873,-0.12885,-0.11394,24.36,13.346,-17.886,-19.758
400,0.1442,0.05873,-0.12885,-0.11394,23.869,13.775,-18.715,-19.758
410,0.1442,0.05873,-0.12885,-0.11394,23.991,13.53,-16.997,-19.543
420,0.1442,0.05873,-0.12885,-0.11394,24.421,13.438,-17.978,-20.31
430,0.1442,0.05873,-0.12885,-0.11394,24.636,13.438,-18.868,-20.923
440,0.1442,0.05873,-0.12885,-0.11394,24.666,13.407,-18.438,-20.31
450,0.1442,0.05873,-0.12885,-0.11394,24.574,12.916,-17.763,-20.463
460,0.1442,0.05873,-0.12885,-0.11394,25.157,14.021,-19.175,-21.568
470,0.1442,0.05873,-0.12885,-0.11394,24.758,14.113,-19.512,-21.322
480,0.1442,0.05873,-0.12885,-0.11394,24.881,14.235,-17.395,-19.972
490,0.1442,0.05873,-0.12885,-0.11394,25.004,13.775,-18.592,-20.954
500,0.1442,0.05873,-0.12885,-0.11394,25.617,13.192,-20.433,-22.243
510,0.1442,0.05873,-0.12885,-0.11394,26.538,14.419,-20.525,-22.427
520,0.1442,0.05873,-0.12885,-0.11394,26.2,14.113,-20.249,-20.31
530,0.1442,0.05873,-0.12885,-0.11394,26.078,13.622,-18.807,-20.034
540,0.1442,0.05873,-0.12885,-0.11394,25.863,12.609,-18.807,-21.016
550,0.1442,0.05873,-0.12885,-0.11394,25.955,13.131,-19.758,-21.506
560,0.1442,0.05873,-0.12885,-0.11394,26.17,13.744,-20.525,-20.402
570,0.1442,0.05873,-0.12885,-0.11394,26.63,14.389,-20.985,-19.574
580,0.1442,0.05873,-0.12885,-0.11394,26.477,14.573,-19.635,-19.236
590,0.1442,0.05873,-0.12885,-0.11394,25.832,13.346,-20.371,-19.696
600,0.1442,0.05873,-0.12885,-0.11394,26.753,13.438,-20.341,-21.108
610,0.1442,0.05873,-0.12885,-0.11394,26.967,14.419,-20.893,-21.077
620,0.1442,0.05873,-0.12885,-0.11394,27.09,13.714,-21.721,-20.218
630,0.1442,0.05873,-0.12885,-0.11394,27.274,12.947,-21.077,-19.666
640,0.1442,0.05873,-0.12885,-0.11394,26.814,13.131,-20.003,-19.205
650,0.1442,0.05873,-0.12885,-0.11394,26.354,11.842,-21.016,-20.126
660,0.1442,0.05873,-0.12885,-0.11394,27.274,12.21,-22.181,-20.985
670,0.1442,0.05873,-0.12885,-0.11394,27.765,13.959,-21.936,-20.586
680,0.1442,0.05873,-0.12885,-0.11394,26.937,14.358,-21.69,-20.218
690,0.1442,0.05873,-0.12885,-0.11394,26.906,13.622,-20.831,-20.402
700,0.1442,0.05873,-0.12885,-0.11394,27.182,12.579,-21.108,-20.647
710,0.1442,0.05873,-0.12885,-0.11394,27.642,12.487,-22.672,-21.23
720,0.1442,0.05873,-0.12885,-0.11394,28.103,14.235,-22.826,-21.016
730,0.1442,0.05873,-0.12885,-0.11394,27.796,14.266,-22.365,-21.292
740,0.1442,0.05873,-0.12885,-0.11394,27.489,14.389,-21.046,-20.893
750,0.1442,0.05873,-0.12885,-0.11394,27.305,13.438,-21.138,-20.862
760,0.1442,0.05873,-0.12885,-0.11394,27.612,12.517,-22.488,-21.506
770,0.1442,0.05873,-0.12885,-0.11394,28.501,13.315,-23.593,-22.059
780,0.1442,0.05873,-0.12885,-0.11394,28.287,14.696,-21.752,-20.831
790,0.1442,0.05873,-0.12885,-0.11394,26.477,13.468,-20.525,-20.494
800,0.1442,0.05873,-0.12885,-0.11394,27.274,12.333,-20.555,-22.028
810,0.1442,0.05873,-0.12885,-0.11394,28.471,13.07,-22.335,-23.409
820,0.1442,0.05873,-0.12885,-0.11394,28.87,13.223,-23.194,-22.826
830,0.1442,0.05873,-0.12885,-0.11394,28.195,13.929,-21.568,-21.261
840,0.1442,0.05873,-0.12885,-0.11394,27.857,14.91,-20.433,-21.169
850,0.1442,0.05873,-0.12885,-0.11394,27.52,13.499,-21.077,-22.335
860,0.1442,0.05873,-0.12885,-0.11394,28.225,11.505,-21.813,-22.519
870,0.1442,0.05873,-0.12885,-0.11394,28.808,13.1,-22.734,-20.586
880,0.1442,0.05873,-0.12885,-0.11394,27.888,14.634,-23.501,-20.494
890,0.1442,0.05873,-0.12885,-0.11394,27.765,14.389,-22.795,-21.414
900,0.1442,0.05873,-0.12885,-0.11394,27.918,14.082,-20.402,-21.261
910,0.1442,0.05873,-0.12885,-0.11394,27.213,11.597,-20.187,-20.954
920,0.1442,0.05873,-0.12885,-0.11394,28.195,11.413,-20.954,-21.66
930,0.1442,0.05873,-0.12885,-0.11394,28.9,13.315,-22.519,-21.783
940,0.1442,0.05873,-0.12885,-0.11394,28.563,13.867,-22.181,-20.739
950,0.1442,0.05873,-0.12885,-0.11394,28.44,13.56,-20.157,-21.353
960,0.1442,0.05873,-0.12885,-0.11394,28.225,13.131,-20.77,-22.396
970,0.1442,0.05873,-0.12885,-0.11394,28.287,12.701,-21.353,-22.028
980,0.1442,0.05873,-0.12885,-0.11394,28.777,13.254,-21.506,-21.813
990,0.1442,0.05873,-0.12885,-0.11394,28.777,13.898,-21.66,-21.752
1000,0.1442,0.05873,-0.12885,-0.11394,28.379,13.07,-21.261,-21.752
1010,0,0,-0.06209,0,28.348,12.026,-20.31,-22.457
1020,0,0,-0.06209,0,28.195,11.628,-21.292,-21.568
1030,0,0,-0.06209,0,27.826,9.48,-21.261,-18.5
1040,0,0,-0.06209,0,27.857,8.836,-21.108,-16.015
1050,0,0,-0.06209,0,27.336,8.069,-21.568,-13.959
1060,0,0,-0.06209,0,26.415,6.259,-19.819,-12.793
1070,0,0,-0.06209,0,25.863,5.369,-19.144,-12.118
